k141_73896_2	00209	35.503	169	1.92e-16	69.3
k141_274433_2	00211	38.095	105	1.52e-14	66.6
k141_274433_2	00185	39.535	18.4286	6.19e-13	61.2
k141_95026_4	00180	39.828	58	2.34e-141	416
k141_95026_4	00222	39.167	120	1.14e-20	88.2
k141_52805_1	00222	36.364	36.6667	6.83e-15	67.4
k141_52805_1	00180	40.833	30	1.22e-22	90.5
k141_52805_19	00305	48.936	23.5	3.36e-07	43.5
k141_52805_19	00314	48.936	23.5	8.58e-07	42.4
k141_52805_19	00288	47.727	44	1.11e-06	42.0
k141_52805_19	00287	48.718	39	1.46e-06	41.6
k141_52805_19	00252	48.889	22.5	2.02e-06	41.2
k141_52805_19	00262	48.889	22.5	2.63e-06	40.8
k141_52805_19	00279	44.898	24.5	3.20e-06	40.8
k141_52805_19	00316	48.936	23.5	3.37e-06	40.4
k141_52805_19	00291	44.898	24.5	3.87e-06	40.4
k141_52805_19	00280	46.154	39	3.94e-06	40.4
k141_52805_19	00250	43.137	25.5	8.38e-06	39.3
k141_52805_19	00324	45.455	44	8.50e-06	39.3
k141_263848_11	00274	52.041	98	4.58e-25	101
k141_263848_11	00262	51.111	90	9.00e-24	97.8
k141_263848_11	00260	49.474	95	1.40e-23	97.1
k141_263848_11	00324	50.538	93	1.78e-23	97.1
k141_263848_11	00269	48.387	93	6.36e-23	95.5
k141_263848_11	00266	48.421	95	8.31e-23	94.7
k141_263848_11	00263	47.368	95	1.09e-22	94.7
k141_263848_11	00284	46.237	93	1.37e-21	91.3
k141_263848_11	00267	45.000	50	6.40e-21	89.0
k141_263848_11	00250	50.602	83	6.46e-21	89.4
k141_263848_11	00282	45.161	93	2.04e-20	87.4
k141_263848_11	00277	44.355	41.3333	2.10e-20	87.4
k141_263848_11	00252	38.542	48	1.67e-14	69.3
k141_211170_2	00182	36.190	21	1.48e-06	41.2
k141_200632_2	00220	38.776	24.5	7.43e-07	40.4
k141_158344_4	00212	35.455	36.6667	1.55e-10	52.4
k141_42346_2	00185	41.704	31.8571	7.34e-41	143
k141_105552_1	00189	35.000	40	1.80e-07	42.7
k141_105552_1	00186	35.000	40	2.15e-07	43.1
k141_105591_2	00189	37.226	27.4	8.97e-09	47.4
k141_242896_38	00186	58.140	inf	9.76e-09	49.7
k141_306322_1	00186	37.168	37.6667	2.19e-08	46.2
k141_306322_1	00189	36.283	37.6667	2.41e-08	45.4
k141_147941_2	00220	39.062	32	6.10e-07	42.0
k141_84631_2	00220	35.938	32	4.91e-15	66.6
k141_63563_1	00223	35.714	inf	8.26e-07	38.9
k141_63583_6	00263	59.184	98	9.37e-30	114
k141_63583_6	00324	56.250	96	9.87e-29	110
k141_63583_6	00284	56.250	96	1.09e-28	110
k141_63583_6	00262	58.586	49.5	1.21e-28	110
k141_63583_6	00266	54.082	98	3.53e-27	105
k141_63583_6	00250	60.976	inf	2.16e-26	103
k141_63583_6	00267	54.167	96	4.14e-26	102
k141_63583_6	00269	55.208	96	5.00e-26	102
k141_63583_6	00260	47.959	98	4.21e-23	94.0
k141_63583_6	00282	47.872	94	1.96e-21	89.0
k141_63583_6	00274	42.857	98	5.21e-20	84.7
k141_63583_6	00277	46.316	47.5	2.86e-19	82.4
k141_63583_6	00252	38.043	92	1.03e-15	71.6
k141_63583_6	00244	39.000	50	1.31e-13	65.1
k141_169104_43	00196	70.492	inf	1.31e-52	177
k141_264063_19	00185	50.691	54.25	1.45e-61	198
k141_264063_20	00185	51.613	54.25	5.10e-63	202
k141_95156_43	00186	46.154	32.5	1.94e-08	48.5
k141_21389_1	00173	42.995	51.75	3.70e-52	163
k141_137520_15	00230	35.714	35	3.68e-07	38.5
k141_63670_5	00222	36.607	112	7.32e-16	72.4
k141_285212_94	00173	49.029	51.5	3.31e-59	179
k141_11006_2	00189	35.052	32.3333	9.80e-09	47.8
k141_11006_2	00186	35.052	32.3333	2.31e-08	47.4
k141_169197_1	00265	36.800	41.6667	3.85e-17	77.4
k141_169197_1	00265	40.506	79	1.53e-10	56.6
k141_169197_1	00268	38.961	77	1.45e-09	53.5
k141_169197_1	00314	52.778	inf	5.32e-06	42.4
k141_169197_2	00324	68.421	95	6.60e-35	130
k141_169197_2	00262	62.500	48	2.33e-31	119
k141_169197_2	00284	60.000	95	2.34e-30	117
k141_169197_2	00263	58.947	95	7.27e-30	115
k141_169197_2	00269	61.053	95	5.43e-29	113
k141_169197_2	00260	58.947	95	7.72e-29	112
k141_169197_2	00282	58.511	94	3.80e-28	110
k141_169197_2	00267	56.842	95	4.11e-28	110
k141_169197_2	00250	63.158	95	7.36e-28	109
k141_169197_2	00266	54.737	95	1.13e-27	108
k141_169197_2	00277	48.361	61	1.79e-24	99.0
k141_169197_2	00274	50.526	47.5	9.67e-23	94.0
k141_169197_2	00244	43.750	40	3.93e-13	64.3
k141_53152_20	00223	42.913	63.5	3.10e-62	200
k141_53152_20	00222	36.145	41.5	1.21e-07	46.6
k141_190270_54	00221	36.481	51.7778	1.47e-79	251
k141_190270_54	00185	53.070	45.6	5.84e-68	214
k141_179797_17	00173	44.907	54	7.52e-58	176
k141_158678_2	00211	39.100	48.1667	6.49e-60	188
k141_42820_9	00185	37.931	33.1429	1.94e-39	139
k141_148336_3	00173	39.409	101.5	9.93e-48	150
k141_243327_1	00211	37.433	187	1.02e-43	144
k141_232763_2	00212	38.000	inf	9.03e-17	69.7
k141_232763_2	00182	36.893	25.75	7.91e-09	47.0
k141_232773_2	00221	36.196	20.375	1.84e-12	61.6
k141_285430_3	00186	58.140	inf	4.91e-09	50.1
k141_106092_59	00211	50.825	151.5	1.89e-101	295
k141_254021_1	00323	47.368	inf	8.85e-06	37.4
k141_275145_1	00178	38.323	55.6667	6.52e-31	104
k141_275145_2	00178	38.117	44.6	1.48e-41	134
k141_243484_6	00180	35.135	37	1.24e-06	43.1
k141_11427_1	00180	42.446	46.3333	1.68e-29	111
k141_11427_1	00222	37.190	30.25	6.12e-18	77.0
k141_74529_1	00222	37.888	40.25	5.36e-22	89.7
k141_32439_1	00185	51.304	57.5	2.53e-30	111
k141_243518_2	00215	42.593	32.4	1.56e-76	231
k141_190670_1	00182	41.250	40	1.41e-07	43.9
k141_190670_1	00187	36.842	19	8.48e-06	38.5
k141_771_1	00187	41.304	46	8.96e-08	41.6
k141_95533_2	00211	38.019	62.6	1.19e-63	198
k141_53558_6	00125	36.620	23.6667	4.86e-06	40.0
k141_74645_43	00244	62.727	110	2.00e-38	137
k141_74645_43	00252	38.614	50.5	5.82e-17	74.7
k141_74645_43	00263	38.043	46	3.05e-11	57.4
k141_74645_43	00324	38.750	40	9.99e-11	55.8
k141_74645_43	00284	37.778	45	2.28e-10	54.3
k141_74645_43	00250	36.250	40	3.40e-10	53.9
k141_74645_43	00274	36.364	77	7.27e-09	49.7
k141_74645_43	00267	35.000	40	4.19e-08	47.4
k141_201436_1	00212	40.741	54	2.97e-06	38.1
k141_201486_1	00180	48.043	140.5	1.08e-94	283
k141_201486_1	00223	35.915	28.4	1.56e-17	74.7
k141_169806_2	00221	35.057	24.8571	2.39e-16	72.8
k141_169806_2	00185	58.462	65	3.81e-16	71.2
k141_127509_43	00185	46.121	46.4	1.02e-57	189
k141_95714_6	00287	36.800	41.6667	4.42e-20	85.1
k141_95714_6	00287	41.379	43.5	5.88e-14	66.2
k141_95714_6	00287	46.809	47	2.14e-07	45.4
k141_95714_6	00261	35.294	68	2.69e-19	82.8
k141_95714_6	00259	36.220	63.5	1.94e-18	80.1
k141_95714_6	00259	41.250	80	2.41e-13	64.3
k141_95714_6	00264	35.433	63.5	2.80e-18	79.7
k141_95714_6	00265	35.156	64	7.78e-18	78.2
k141_95714_6	00265	41.250	80	7.12e-14	65.9
k141_95714_6	00268	35.156	64	1.18e-17	77.8
k141_95714_6	00303	36.641	32.75	3.80e-17	76.3
k141_95714_6	00291	37.226	27.4	4.48e-17	75.9
k141_95714_6	00280	39.080	43.5	2.82e-12	60.8
k141_95714_6	00280	47.368	inf	4.04e-07	44.7
k141_95714_6	00272	35.714	25.2	3.23e-16	73.2
k141_95714_6	00279	37.405	26.2	3.48e-16	73.2
k141_95714_6	00276	35.036	27.4	7.11e-16	72.4
k141_95714_6	00281	35.115	32.75	5.30e-15	69.7
k141_95714_6	00301	37.079	17.8	6.72e-07	43.9
k141_95714_6	00322	40.909	33	8.46e-06	40.4
k141_95714_6	00293	46.875	inf	5.49e-06	40.8
k141_987_2	00252	43.689	51.5	1.73e-22	92.8
k141_987_2	00244	42.857	56	2.10e-18	80.5
k141_987_2	00263	38.298	47	5.39e-12	60.5
k141_987_2	00269	42.857	22.75	1.02e-10	56.2
k141_987_2	00262	36.667	90	1.35e-10	55.8
