Sample	Environment	PlasticDB_highconf	PlasticDB_greyzone	PAZy_hits	Shared_PAZy_PlasticDB
SRR28167100	Cow dung (plastic-enriched)	591	3410	75	22
SRR24575585	Wetland sediment	90	702	53	7
