k141_10024_5	00230	35.180	32.8182	1.52e-60	191
k141_10860_1	00173	42.657	35.75	1.75e-28	97.8
k141_12494_1	00185	51.691	69	7.86e-70	210
k141_12860_1	00188	43.478	inf	8.21e-07	41.6
k141_13012_2	00185	41.991	33	2.94e-49	166
k141_14841_1	00185	35.537	30.25	2.60e-08	45.8
k141_14867_4	00211	37.615	54.5	1.02e-19	76.3
k141_15147_6	00186	44.444	inf	6.09e-06	40.8
k141_15319_1	00301	35.556	22.5	2.50e-07	42.7
k141_17028_3	00189	48.780	41	3.51e-14	63.5
k141_17199_8	00180	37.963	54	9.55e-18	78.2
k141_18410_1	00215	59.259	inf	8.35e-08	38.5
k141_18843_2	00180	36.041	39.4	1.92e-120	362
k141_18870_36	00222	37.405	131	1.32e-23	98.2
k141_18898_1	00209	39.130	103.5	8.29e-45	148
k141_20509_5	00185	36.792	21.2	3.35e-07	43.5
k141_21294_68	00279	51.111	45	9.61e-07	42.4
k141_21936_1	00230	37.113	22.3846	2.07e-39	134
k141_22025_4	00186	38.346	33.25	2.31e-15	68.2
k141_2203_2	00210	40.203	37	9.82e-61	189
k141_2344_1	00218	35.000	35	3.96e-17	70.1
k141_23878_1	00222	36.364	49.5	4.28e-13	60.1
k141_2500_3	00328	36.538	20.8	3.74e-06	42.0
k141_26634_21	00222	37.931	116	5.91e-19	82.8
k141_26635_12	00188	35.294	inf	2.64e-09	49.7
k141_27783_2	00212	36.842	76	8.53e-09	47.0
k141_28880_1	00222	43.182	inf	1.06e-09	48.1
k141_30720_3	00240	37.500	22	7.29e-06	39.3
k141_30966_10	00180	37.226	34.25	9.87e-23	93.6
k141_31280_2	00185	47.137	45.4	3.88e-56	183
k141_31891_2	00173	40.476	56	1.16e-33	112
k141_32150_1	00111	75.591	inf	3.39e-72	208
k141_32855_1	00220	46.667	inf	9.53e-06	38.5
k141_33398_1	00222	37.374	49.5	1.15e-13	58.5
k141_33398_2	00180	48.276	inf	2.37e-15	61.2
k141_34754_11	00111	55.882	102	1.27e-84	243
k141_36729_1	00210	56.364	inf	8.77e-35	115
k141_3809_5	00219	37.288	59	4.26e-07	42.4
k141_38207_4	00185	43.498	31.8571	5.15e-50	168
k141_39594_1	00180	42.857	50.75	7.73e-46	160
k141_40966_1	00209	36.413	61.3333	7.53e-24	90.5
k141_4213_33	00181	35.556	45	1.56e-09	50.8
k141_42691_32	00220	40.000	inf	5.15e-06	40.4
k141_42695_1	00185	36.842	22.8	2.65e-12	57.0
k141_43147_2	00211	39.130	69	9.80e-10	47.4
k141_43240_2	00279	44.444	45	4.70e-06	40.0
k141_43296_32	00185	39.394	33	7.23e-10	51.6
k141_43308_1	00221	50.000	44.6667	1.30e-38	130
k141_43456_1	00211	53.061	inf	1.72e-53	166
k141_46035_5	00220	38.255	37.25	2.01e-16	71.2
k141_4628_7	00185	38.813	43.8	1.63e-41	145
k141_46399_1	00211	39.773	58.6667	7.54e-33	114
k141_4713_1	00188	37.179	26	2.00e-08	42.4
k141_47462_2	00261	42.017	29.75	2.37e-21	80.9
k141_47476_1	00173	60.000	55	5.55e-20	73.6
k141_48205_2	00211	41.007	46.3333	2.94e-25	92.4
k141_49387_175	00181	42.857	88.6667	2.21e-55	173
k141_49411_1	00211	48.718	inf	1.99e-07	39.7
k141_50243_31	00180	39.100	38.5333	2.33e-130	387
k141_50352_20	00181	37.778	45	6.35e-11	55.1
k141_50607_9	00186	37.349	83	1.71e-07	46.2
k141_50666_1	00180	49.306	36	1.01e-39	136
k141_51146_14	00180	44.156	77	4.18e-88	278
k141_51194_3	00180	39.623	53	1.04e-19	84.3
k141_51404_2	00185	49.462	93	7.53e-84	256
k141_51823_2	00182	37.647	28.3333	6.39e-10	51.2
k141_52171_1	00212	38.462	inf	5.38e-06	38.1
k141_52937_1	00189	50.000	41	1.49e-15	65.9
k141_53763_3	00186	43.750	inf	9.60e-09	44.7
k141_54366_1	00220	37.778	inf	4.35e-17	72.4
k141_54638_1	00182	36.735	24.5	5.56e-06	38.9
k141_55115_44	00188	38.235	inf	5.02e-10	51.6
k141_55484_1	00186	40.000	inf	2.96e-06	41.2
k141_55990_87	00211	37.975	118.5	4.63e-52	169
k141_56542_19	00173	46.602	34.3333	3.35e-52	162
k141_56881_2	00211	35.461	47	1.38e-19	76.6
k141_58991_76	00210	35.354	37.125	1.67e-47	155
k141_58991_77	00210	39.189	42.2857	2.20e-60	189
k141_59487_1	00212	35.294	102	8.19e-14	61.6
k141_59541_3	00240	37.500	22	8.20e-06	38.9
k141_59565_1	00185	38.542	38.4	2.57e-36	124
k141_59754_3	00211	35.317	36	1.76e-36	127
k141_60577_2	00185	37.931	inf	3.69e-06	40.8
k141_6316_5	00111	73.301	inf	6.20e-115	320
k141_675_35	00185	35.185	36	5.03e-09	48.9
k141_6847_1	00210	40.809	38.8571	3.74e-57	178
k141_8327_1	00212	43.662	71	1.28e-10	53.5
k141_9268_1	00230	46.614	35.8571	5.34e-65	199
k141_9329_3	00230	46.032	31.5	1.53e-10	48.1
k141_9613_23	00111	46.377	103.5	2.36e-60	182
