ID	source	polymer
BAI44731	NCBI	PA
WP_185053500	NCBI	PA
XHH12374	NCBI	PA
XHH12375	NCBI	PA
XHH12378	NCBI	PA
WP_068749367	NCBI	PA
A0A138ZXG5	UniProt	PA
A0A1M5P6R3	UniProt	PA
A0A1Y4BJH4	UniProt	PA
A0A4R0IDB8	UniProt	PA
A0A5M3WI68	UniProt	PA
A0A7W0NYQ1	UniProt	PA
A0A7X7N2B0	UniProt	PA
Q73X82	UniProt	PA
A0A848L028	UniProt	PA
A0A1M5ZAZ5	UniProt	PA
A0A1Q3SHB0	UniProt	PA
A0A225M899	UniProt	PA
A0A368EC02	UniProt	PA
A0A522DD61	UniProt	PA
A0A6A7M915	UniProt	PA
A0A1Q9YJX4	UniProt	PA
A0A2T2X6B9	UniProt	PA
A0A315R6Z8	UniProt	PA
PWX09261.1	NCBI	PA
RYL92504.1	NCBI	PA
A0A7C6SQZ1	UniProt	PA
A0A7C7DKE8	UniProt	PA
A0A7X2NQM3	UniProt	PA
R5FI29	UniProt	PA
U7UHN3	UniProt	PA
A0A2E3XQJ6	UniProt	PA
A0A351YZM4	UniProt	PA
A0A3D1YDR8	UniProt	PA
A0A6I1QW75	UniProt	PA
A0A3D4HM79	UniProt	PA
A0A3M1X2K7	UniProt	PA
A0A432H965	UniProt	PA
A0A661XAJ6	UniProt	PA
A0A7C3G8G6	UniProt	PA
A0A7V5VEC1	UniProt	PA
A0A7V9NEU5	UniProt	PA
I4C6Z0	UniProt	PA
