WP_149259982.1	NCBI	PET
WP_086599340.1	NCBI	PET
WP_019633337.1	NCBI	PET
WP_109361459.1	NCBI	PET
WP_211769896.1	NCBI	PET
WP_150070118.1	NCBI	PET
WP_260422593.1	NCBI	PET
WP_252811421.1	NCBI	PET
WP_218517662.1	NCBI	PET
WP_256510519.1	NCBI	PET
WP_233604767.1	NCBI	PET
WP_239095870.1	NCBI	PET
WP_253762837.1	NCBI	PET
WP_212846608.1	NCBI	PET
WP_250563816.1	NCBI	PET
WP_108898452.1	NCBI	PET
WP_041846030.1	NCBI	PET
WP_041847557.1	NCBI	PET
WP_034767800.1	NCBI	PET
WP_108898647.1	NCBI	PET
WP_118011433	NCBI	PET
WP_013858543.1	NCBI	PET
WP_111881932	NCBI	PET
WP_039353427	NCBI	PET
E8U721	UniProt	PET
LIPB_PSEA2	UniProt	PET,PUR
X0BTD8	UniProt	PET
A0A075B5G4	UniProt	PET
A0A2I2K6T5	UniProt	PUR
P20261	UniProt	PUR
XP_036664376	NCBI	PUR
Q12559	UniProt	PUR
NYLA_PSES8	UniProt	PA
P13397.2	UniProt	PA
NYLA_FLASK	UniProt	PA
P13398.2	UniProt	PA
NYLB_FLASK	UniProt	PA
P07061.1	UniProt	PA
NYLC_FLASK	UniProt	PA
Q79F77.1	UniProt	PA
Q1EPR5	UniProt	PA
Q1EPR4	UniProt	PA
WP_011209364.1	NCBI	PA
A0A840P940	UniProt	PA
A0A7W8QII1	UniProt	PA
WP_185053500	NCBI	PA
WP_068749367	NCBI	PA
A0A138ZXG5	UniProt	PA
A0A1M5P6R3	UniProt	PA
A0A1Y4BJH4	UniProt	PA
A0A4R0IDB8	UniProt	PA
A0A5M3WI68	UniProt	PA
A0A7W0NYQ1	UniProt	PA
A0A7X7N2B0	UniProt	PA
Q73X82	UniProt	PA
A0A848L028	UniProt	PA
A0A1M5ZAZ5	UniProt	PA
A0A1Q3SHB0	UniProt	PA
A0A225M899	UniProt	PA
A0A368EC02	UniProt	PA
A0A522DD61	UniProt	PA
A0A6A7M915	UniProt	PA
A0A1Q9YJX4	UniProt	PA
A0A2T2X6B9	UniProt	PA
A0A315R6Z8	UniProt	PA
A0A7C6SQZ1	UniProt	PA
A0A7C7DKE8	UniProt	PA
A0A7X2NQM3	UniProt	PA
R5FI29	UniProt	PA
U7UHN3	UniProt	PA
A0A2E3XQJ6	UniProt	PA
A0A351YZM4	UniProt	PA
A0A3D1YDR8	UniProt	PA
A0A6I1QW75	UniProt	PA
A0A3D4HM79	UniProt	PA
A0A3M1X2K7	UniProt	PA
A0A432H965	UniProt	PA
A0A661XAJ6	UniProt	PA
A0A7C3G8G6	UniProt	PA
A0A7V5VEC1	UniProt	PA
A0A7V9NEU5	UniProt	PA
I4C6Z0	UniProt	PA
