k141_95026_4	00180	39.828	580	631	541	2.34e-141	416
k141_232336_29	00181	33.209	268	279	275	3.50e-39	131
k141_84631_2	00188	33.333	138	298	272	6.63e-16	69.3
k141_264063_19	00185	50.691	217	531	305	1.45e-61	198
k141_264063_20	00185	51.613	217	533	305	5.10e-63	202
k141_200858_2	00209	31.347	453	472	448	2.22e-40	144
k141_21389_1	00173	42.995	207	268	218	3.70e-52	163
k141_32000_41	00188	33.803	142	482	272	7.94e-12	58.5
k141_10960_3	00209	30.737	475	479	448	1.99e-41	147
k141_285212_94	00173	49.029	206	221	218	3.31e-59	179
k141_53152_20	00223	42.913	254	488	348	3.10e-62	200
k141_190270_54	00221	36.481	466	528	508	1.47e-79	251
k141_253653_96	00209	31.373	459	471	448	3.43e-43	151
k141_179797_17	00173	44.907	216	230	218	7.52e-58	176
k141_158678_2	00211	39.100	289	311	337	6.49e-60	188
k141_42820_9	00185	37.931	232	559	305	1.94e-39	139
k141_148336_3	00173	39.409	203	225	218	9.93e-48	150
k141_243327_1	00211	37.433	187	243	337	1.02e-43	144
k141_106092_59	00211	50.825	303	319	337	1.89e-101	295
k141_275145_1	00178	38.323	167	165	216	6.52e-31	104
k141_275145_2	00178	38.117	223	227	216	1.48e-41	134
k141_243484_6	00222	32.584	445	468	516	6.31e-50	171
k141_11427_1	00223	32.700	263	325	348	1.10e-30	112
k141_243518_2	00215	42.593	324	337	322	1.56e-76	231
k141_95533_2	00211	38.019	313	322	337	1.19e-63	198
k141_179985_109	00182	32.014	278	315	277	2.47e-30	109
k141_116803_8	00187	33.577	137	429	250	9.87e-12	57.8
k141_148661_1	00204	30.000	170	233	271	4.06e-07	42.4
k141_74696_2	00211	32.051	234	277	337	8.97e-30	108
k141_306983_2	00182	34.177	158	315	277	2.49e-07	43.9
k141_201486_1	00180	48.043	281	290	541	1.08e-94	283
k141_201500_2	00220	33.588	131	324	262	2.13e-09	50.1
k141_127509_43	00221	31.549	523	575	508	1.20e-62	208
k141_275378_4	00223	31.502	273	466	348	3.08e-34	124
k141_85348_13	00178	38.636	220	313	216	1.55e-37	126
k141_1032_4	00223	32.489	237	502	348	4.62e-21	87.4
k141_22020_39	00211	38.697	261	347	337	1.70e-51	167
k141_138173_10	00178	38.974	195	240	216	1.21e-39	130
k141_180324_11	00223	30.282	284	501	348	3.34e-27	105
k141_43340_2	00223	30.943	265	470	348	5.41e-29	110
k141_1154_1	00183	31.481	162	297	307	6.78e-14	63.5
k141_1155_6	00211	61.889	307	343	337	4.32e-145	407
k141_1239_3	00185	33.684	190	310	305	3.67e-14	64.7
k141_170162_6	00211	60.119	336	332	337	2.99e-149	417
k141_11832_25	00223	42.802	257	478	348	8.89e-59	191
k141_296922_6	00211	36.508	315	318	337	4.27e-63	196
k141_159441_1	00221	33.066	499	528	508	8.12e-66	215
k141_265037_1	00185	41.395	215	275	305	6.36e-48	155
k141_128057_2	00187	31.852	135	294	250	2.88e-06	40.4
k141_11947_2	00180	48.764	445	454	541	1.31e-151	435
k141_75216_1	00209	32.589	224	282	448	8.59e-22	87.4
k141_138386_2	00178	41.121	214	211	216	1.94e-44	141
k141_54338_1	00209	36.972	284	403	448	8.12e-40	140
k141_212470_6	00223	31.095	283	362	348	4.08e-26	100
k141_159619_2	00181	34.708	291	299	275	4.36e-48	155
k141_149436_23	00222	49.614	518	503	516	1.21e-161	462
k141_191516_12	00212	33.594	256	251	285	5.85e-32	112
k141_128400_6	00180	47.038	574	628	541	0.0	526
k141_138523_5	00211	36.396	283	319	337	1.97e-53	172
k141_96423_13	00211	33.191	235	346	337	1.55e-34	122
k141_286515_8	00215	46.454	282	340	322	1.42e-82	247
k141_286515_11	00221	30.835	467	531	508	1.91e-49	171
k141_286530_8	00185	50.500	200	660	305	3.81e-54	181
k141_128432_7	00185	53.953	215	553	305	1.74e-62	201
k141_244179_1	00185	52.096	167	167	305	3.21e-42	136
k141_43747_33	00211	36.992	246	317	337	4.03e-48	157
k141_43747_35	00221	37.425	334	506	508	9.71e-51	174
k141_181046_143	00185	50.885	226	492	305	7.24e-58	187
k141_117829_9	00211	36.082	291	877	337	4.18e-39	141
k141_307983_1	00178	32.143	140	141	216	1.41e-17	69.3
k141_307989_2	00189	38.281	128	321	248	1.76e-17	73.6
k141_86094_11	00211	38.610	259	321	337	1.64e-59	187
k141_75870_2	00221	35.952	331	421	508	1.94e-54	182
